target_price_m2,obj_grp_cstr_year,obj_grp_m2,inp_sell_date_dow,inp_nr_rooms,inp_adress_floor,inp_grp_m2_int,inp_grp_mnth_fee_to_m2_int,inp_grp_cstr_year_int,inp_mnth_fee_to_m2,inp_construction_year,inp_m2,inp_mnth_fee_to_nr_rooms,inp_mnth_fee,grp_tot_duration_time_mins,grp_tot_transit_distance_km,grp_lng,grp_lat,inp_lat,inp_lng,inp_distance_first_transit_km,inp_tot_transit_distance_km,inp_tot_duration_time_mins,inp_sub_agg_distance_num_km_steps_bus_sum,inp_sub_agg_distance_num_km_steps_heavy_rail_sum,inp_sub_agg_distance_num_km_steps_subway_sum,inp_sub_agg_distance_num_km_steps_tram_sum,inp_sub_agg_duration_time_mins_steps_bus_sum,inp_sub_agg_duration_time_mins_steps_heavy_rail_sum,inp_sub_agg_duration_time_mins_steps_subway_sum,inp_sub_agg_duration_time_mins_steps_tram_sum,inp_distance_to_sea_km,inp_duration_time_transit_prct_bus,inp_duration_time_transit_prct_rail,inp_duration_time_transit_prct_subway,inp_duration_time_transit_prct_tram,inp_distance_traveled_transit_prct_transit,inp_distance_traveled_transit_prct_bus,inp_distance_traveled_transit_prct_rail,inp_distance_traveled_transit_prct_subway,inp_distance_traveled_transit_prct_tram,inp_distance_traveled_transit_prct_sea,inp_tot_transit_steps_count,inp_sub_agg_transit_steps_bus_count,inp_sub_agg_transit_steps_heavy_rail_count,inp_sub_agg_transit_steps_subway_count,inp_sub_agg_transit_steps_tram_count,inp_f_wlk_bus_wlk,inp_f_wlk_subway_wlk,inp_f_wlk_heavyrail_wlk,inp_f_wlk_bus_subway_wlk,inp_f_wlk_bus_heavyrail_wlk,inp_f_wlk_subway_subway_wlk,inp_f_wlk_tram_subway_wlk,inp_f_wlk_tram_heavyrail_wlk,inp_f_wlk_bus_subway_subway_wlk,inp_f_wlk_subway_tram_heavyrail_wlk,inp_f_first_transit_bus,inp_f_first_transit_subway,inp_f_first_transit_tram,inp_f_first_transit_heavy_rail,inp_f_first_transit_walking
79853.0,"(2010.0, 2015.0]","(60.0, 70.0]",2,2.0,6,9,6,18,47,2012.0,68.0,1609,3218,"(15.0, 20.0]","(2.0, 4.0]","(17.987, 18.007]","(59.336, 59.346]",59.3386711,18.0040767,0.8,3.992,18.0,0.0,0.0,3.1,0.0,0.0,0.0,6.0,0.0,0.09711410198133227,0.0,0.0,0.3333333333333333,0.0,0.2004008016032064,0.0,0.0,0.7765531062124248,0.0,0.024327179855043155,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
117105.0,"(1935.0, 1940.0]","(9.999, 20.0]",2,1.0,5,0,-1,7,115,1940.0,19.0,2183,2183,"(10.0, 15.0]","(2.0, 4.0]","(18.027, 18.326]","(59.306, 59.316]",59.3153044,18.0774523,0.8,3.1659999999999995,15.0,0.0,2.3,0.0,0.0,0.0,3.0,0.0,0.0,0.4964383607219886,0.0,0.2,0.0,0.0,0.2526847757422616,0.0,0.7264687302590019,0.0,0.0,0.15680301981111455,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
39394.0,"(2000.0, 2005.0]","(60.0, 70.0]",2,2.0,2,9,7,16,55,2002.0,66.0,1820,3640,"(30.0, 40.0]","(12.0, 14.0]","(17.867, 17.887]","(59.346, 59.546]",59.35464930000001,17.875649499999998,0.4,13.892,33.0,0.0,0.0,13.4,0.0,0.0,0.0,27.0,0.0,6.793820177895392,0.0,0.0,0.8181818181818182,0.0,0.028793550244745177,0.0,0.0,0.9645839331989634,0.0,0.4890455066149864,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90476.0,"(2010.0, 2015.0]","(40.0, 45.0]",2,2.0,2,5,7,18,51,2012.0,42.0,1068,2136,"(15.0, 20.0]","(6.0, 8.0]","(17.967, 17.987]","(59.326, 59.336]",59.33344690000001,17.977333399999996,0.4,7.0920000000000005,20.0,0.0,0.0,6.6,0.0,0.0,0.0,14.0,0.0,0.5945867452900623,0.0,0.0,0.7,0.0,0.05640157924421885,0.0,0.0,0.9306260575296108,0.0,0.08383907858009902,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43388.0,"(1955.0, 1960.0]",,2,4.0,2,-1,7,11,52,1960.0,91.5,1180,4720,"(15.0, 20.0]","(4.0, 6.0]","(18.027, 18.326]","(59.296, 59.306]",59.29610859999999,18.041123000000002,0.8,5.8660000000000005,17.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0412625510056308,0.0,0.35294117647058826,0.0,0.0,0.13637913399249915,0.0,0.8523695874531197,0.0,0.0,0.17750810620621052,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
103529.0,"(1930.0, 1935.0]","(30.0, 35.0]",2,2.0,5,3,9,6,64,1931.0,34.0,1084,2167,"(15.0, 20.0]","(2.0, 4.0]","(18.027, 18.326]","(59.306, 59.316]",59.3142932,18.092608399999996,0.3,3.3,20.0,2.7,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.3590776971896426,0.6,0.0,0.0,0.0,0.09090909090909093,0.8181818181818182,0.0,0.0,0.0,0.1088114233908008,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59744.0,"(2005.0, 2010.0]","(35.0, 40.0]",2,1.0,2,4,12,17,77,2008.0,39.0,2999,2999,"(15.0, 20.0]","(8.0, 10.0]","(17.987, 18.007]","(59.276, 59.286]",59.27919169999999,18.0044116,0.5,8.166,16.0,0.0,7.6,0.0,0.0,0.0,9.0,0.0,0.0,3.5904613405768937,0.0,0.5625,0.0,0.0,0.0612294881214793,0.0,0.9306882194464854,0.0,0.0,0.4396842200069672,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35099.0,"(2005.0, 2010.0]","(70.0, 80.0]",1,3.0,2,10,9,17,61,2010.0,75.5,1545,4634,"(40.0, 50.0]","(14.0, 16.0]","(17.887, 17.907]","(59.346, 59.546]",59.363361,17.8922671,1.4,14.892,45.0,0.0,0.0,13.4,0.0,0.0,0.0,27.0,0.0,6.208803838830301,0.0,0.0,0.6,0.0,0.094010206822455,0.0,0.0,0.8998119795863551,0.0,0.4169220950060637,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
100000.0,"(2015.0, 2020.0]","(9.999, 20.0]",1,1.0,2,0,8,19,58,2019.0,18.5,1069,1069,"(10.0, 15.0]","(4.0, 6.0]","(18.027, 18.326]","(59.296, 59.306]",59.29833849999999,18.038975399999998,0.6,5.666,15.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.822118126538655,0.0,0.4,0.0,0.0,0.10589481115425343,0.0,0.8824567596187788,0.0,0.0,0.1450967395938325,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44231.0,"(1955.0, 1960.0]",,1,5.0,2,-1,7,11,53,1960.0,104.0,1109,5544,"(10.0, 15.0]","(6.0, 8.0]","(18.027, 18.326]","(59.286, 59.296]",59.292685999999996,18.0504538,0.3,6.566,15.0,0.0,5.0,0.0,1.2,0.0,6.0,0.0,4.0,1.4743493837680626,0.0,0.4,0.0,0.26666666666666666,0.045689917758148034,0.0,0.7614986293024673,0.0,0.18275967103259214,0.2245430069704634,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
